clientId,cluster,jobName,cronExpression,serverTimezone,fireTimeServer,fireTimeUtc,fireTimeIst,command
"IKI","CL54","IKI - encryptExtracts [IKI]","*/30 * * * *","Europe/Helsinki","2026-07-24 09:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh IKI >> /mount/RWS4/batch_jobs/log/encryptsExtracts"
"INSP","CL03","INSP - customAbsencesExtracts","*/5 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/customAbsencesExtracts.sh >> /mount/RWS4/batch_jobs/log/customAbsence"
"INSP","CL03","INSP - customEncryptInfotype7Extracts","*/15 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/customEncryptInfotype7Extracts.sh >> /mount/RWS4/batch_jobs/log/custo"
"MB","CL55","MB - download","*/15 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"MB","CL55","MB - monitor MBR NewTaUnitPayDetailGeneratorJob","*/2 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/monitor_MBR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jo"
"MCDDE","CL75","MCDDE - WFMExtracts to sftp [MCDDE]","*/15 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/WFMExtracts_to_sftp.sh MCDDE >> /mount/RWS4/batch_jobs/log/WFMExtract"
"MCDDE","CL75","MCDDE - cognos extract to sftp [MCDDE] (*/30 1-21 * * *)","*/30 1-21 * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/cognos_extract_to_sftp.sh MCDDE >> /mount/RWS4/batch_jobs/log/cognos_"
"MCDDE","CL75","MCDDE - encryptExtracts [MCDDE]","*/15 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh MCDDE >> /mount/RWS4/batch_jobs/log/encryptExtract"
"MCDDE","CL75","MCDDE - sftpRetry","*/30 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sftpRetry.sh >> /mount/RWS4/batch_jobs/log/sftpRetry.log 2>&1"
"MCDDE","CL75","MCDDE - upload payfiles to sftp [MCDDE]","*/5 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/upload_payfiles_to_sftp.sh MCDDE >> /mount/RWS4/batch_jobs/log/upload"
"MCDPL","CL51","MCDPL - encryptExtracts","*/5 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh >> /mount/RWS4/batch_jobs/log/encryptExtracts.log"
